case_id,sample_id,component,graph_n_atoms,manifest_smiles,manifest_smiles_n_atoms,matched_smiles,matched_smiles_n_atoms,mapping_type,atomic_order_match,bond_match,status
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Refrigerant,6,FC(F)C(F)F,6,FC(F)C(F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Refrigerant,6,C(C(F)(F)F)F,6,C(C(F)(F)F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Refrigerant,6,FC(F)C(F)F,6,FC(F)C(F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Anion,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,21,Direct_Manifest_SMILES,True,True,PASS
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Refrigerant,6,C(C(F)(F)F)F,6,C(C(F)(F)F)F,6,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Anion,5,F[B-](F)(F)F,5,F[B-](F)(F)F,5,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Anion,7,F[P-](F)(F)(F)(F)F,7,F[P-](F)(F)(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Anion,5,F[B-](F)(F)F,5,F[B-](F)(F)F,5,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Anion,7,F[P-](F)(F)(F)(F)F,7,F[P-](F)(F)(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Anion,5,F[B-](F)(F)F,5,F[B-](F)(F)F,5,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Anion,7,F[P-](F)(F)(F)(F)F,7,F[P-](F)(F)(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,Anion,5,F[B-](F)(F)F,5,F[B-](F)(F)F,5,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,Cation,10,C(CCC)[N+]1=CN(C=C1)C,10,C(CCC)[N+]1=CN(C=C1)C,10,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,Anion,7,F[P-](F)(F)(F)(F)F,7,F[P-](F)(F)(F)(F)F,7,Direct_Manifest_SMILES,True,True,PASS
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,Refrigerant,3,C(F)F,3,C(F)F,3,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.228,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.228,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.228,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.293,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.293,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__303__0.293,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.453,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.453,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.453,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.8,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.8,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.8,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__352.8__0.511,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__352.8__0.511,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(E)__352.8__0.511,Refrigerant,10,FC(F)(F)/C=C/C(F)(F)F,10,FC(F)(F)/C=C/C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.05,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.05,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.05,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.06,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.06,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.06,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.07,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.07,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.07,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.09,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.09,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__303__0.09,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.13,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.13,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.13,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.17,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.17,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.17,Refrigerant,10,FC(F)(F)/C=C\C(F)(F)F,10,FC(F)(F)/C=C\C(F)(F)F,10,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.18,Cation,8,C(C)[N+]1=CN(C=C1)C,8,C(C)[N+]1=CN(C=C1)C,8,Direct_Manifest_SMILES,True,True,PASS
Case4_R1336mzz_Stereo,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.18,Anion,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,15,Direct_Manifest_SMILES,True,True,PASS
